	sub	emotion	mapping	intensity	score
4452	04	anger	Cordaro2008IPC	3	0.561222389902593
6612	04	anger	Cordaro2008IPC	4	0.6351556375957721
8772	04	anger	Cordaro2008IPC	5	0.5905801483631672
133	04	disgust	Cordaro2008IPC	1	0.6215105459057073
2293	04	disgust	Cordaro2008IPC	2	0.6593654703260615
4453	04	disgust	Cordaro2008IPC	3	0.7439293598233996
6613	04	disgust	Cordaro2008IPC	4	0.7528534794851167
8773	04	disgust	Cordaro2008IPC	5	0.7354080298935922
134	04	fear	Cordaro2008IPC	1	0.4879097884212974
2294	04	fear	Cordaro2008IPC	2	0.5453339230429014
4454	04	fear	Cordaro2008IPC	3	0.5427215189873418
6614	04	fear	Cordaro2008IPC	4	0.5115093768905021
8774	04	fear	Cordaro2008IPC	5	0.518898794823669
135	04	happy	Cordaro2008IPC	1	0.6840890202234741
2295	04	happy	Cordaro2008IPC	2	0.742339312406577
4455	04	happy	Cordaro2008IPC	3	0.7322205438066466
6615	04	happy	Cordaro2008IPC	4	0.762888418079096
8775	04	happy	Cordaro2008IPC	5	0.8012121212121212
136	04	sadness	Cordaro2008IPC	1	0.6544371737372252
2296	04	sadness	Cordaro2008IPC	2	0.6172244759972954
4456	04	sadness	Cordaro2008IPC	3	0.6979659609796597
6616	04	sadness	Cordaro2008IPC	4	0.748291342803538
8776	04	sadness	Cordaro2008IPC	5	0.7494926624737945
137	04	surprise	Cordaro2008IPC	1	0.6064167208848406
2297	04	surprise	Cordaro2008IPC	2	0.6002345139899725
4457	04	surprise	Cordaro2008IPC	3	0.6193495514147689
6617	04	surprise	Cordaro2008IPC	4	0.7295634275809771
8777	04	surprise	Cordaro2008IPC	5	0.8460379269189502
168	05	anger	Cordaro2008IPC	1	0.548383993843786
2328	05	anger	Cordaro2008IPC	2	0.6788385826771653
4488	05	anger	Cordaro2008IPC	3	0.5345318755774562
6648	05	anger	Cordaro2008IPC	4	0.5956113288307068
8808	05	anger	Cordaro2008IPC	5	0.5931839402427637
169	05	disgust	Cordaro2008IPC	1	0.6259803921568627
2329	05	disgust	Cordaro2008IPC	2	0.7819284802043422
4489	05	disgust	Cordaro2008IPC	3	0.745564100003329
6649	05	disgust	Cordaro2008IPC	4	0.7664060649135276
8809	05	disgust	Cordaro2008IPC	5	0.7783743670333508
170	05	fear	Cordaro2008IPC	1	0.4480539861895795
2330	05	fear	Cordaro2008IPC	2	0.6070339246809836
4490	05	fear	Cordaro2008IPC	3	0.456342132812721
6650	05	fear	Cordaro2008IPC	4	0.48906972265023113
8810	05	fear	Cordaro2008IPC	5	0.5648350365937016
171	05	happy	Cordaro2008IPC	1	0.6223443223443224
2331	05	happy	Cordaro2008IPC	2	0.7714920948616601
4491	05	happy	Cordaro2008IPC	3	0.7007561163552302
6651	05	happy	Cordaro2008IPC	4	0.7882671707624447
8811	05	happy	Cordaro2008IPC	5	0.8303626227495908
172	05	sadness	Cordaro2008IPC	1	0.6311607142857142
2332	05	sadness	Cordaro2008IPC	2	0.6029718875502008
4492	05	sadness	Cordaro2008IPC	3	0.631739837398374
6652	05	sadness	Cordaro2008IPC	4	0.7151805885632134
8812	05	sadness	Cordaro2008IPC	5	0.7747679036372721
173	05	surprise	Cordaro2008IPC	1	0.7588779956427015
2333	05	surprise	Cordaro2008IPC	2	0.6477832512315271
4493	05	surprise	Cordaro2008IPC	3	0.7792814860175546
6653	05	surprise	Cordaro2008IPC	4	0.7742360041088854
8813	05	surprise	Cordaro2008IPC	5	0.8081994607117087
204	06	anger	Cordaro2008IPC	1	0.5954234388366125
2364	06	anger	Cordaro2008IPC	2	0.5248213845774822
4524	06	anger	Cordaro2008IPC	3	0.5491289198606272
6684	06	anger	Cordaro2008IPC	4	0.5769135802469135
8844	06	anger	Cordaro2008IPC	5	0.5682900136798905
205	06	disgust	Cordaro2008IPC	1	0.8799793956043956
2365	06	disgust	Cordaro2008IPC	2	0.8411887928777166
4525	06	disgust	Cordaro2008IPC	3	0.8304185076092292
6685	06	disgust	Cordaro2008IPC	4	0.8879544290834613
8845	06	disgust	Cordaro2008IPC	5	0.8772377795815296
206	06	fear	Cordaro2008IPC	1	0.5818527918781725
2366	06	fear	Cordaro2008IPC	2	0.6496564716312057
4526	06	fear	Cordaro2008IPC	3	0.6212253193960511
6686	06	fear	Cordaro2008IPC	4	0.6639873916469662
8846	06	fear	Cordaro2008IPC	5	0.6779691807903567
207	06	happy	Cordaro2008IPC	1	0.6497326203208555
2367	06	happy	Cordaro2008IPC	2	0.7996387476585496
4527	06	happy	Cordaro2008IPC	3	0.775093399750934
6687	06	happy	Cordaro2008IPC	4	0.8463077274805672
8847	06	happy	Cordaro2008IPC	5	0.8519116855142703
208	06	sadness	Cordaro2008IPC	1	0.6212518063583815
2368	06	sadness	Cordaro2008IPC	2	0.6679346723473321
4528	06	sadness	Cordaro2008IPC	3	0.6715756362596512
6688	06	sadness	Cordaro2008IPC	4	0.6906162464985994
8848	06	sadness	Cordaro2008IPC	5	0.7286867929671528
209	06	surprise	Cordaro2008IPC	1	0.8494652406417113
2369	06	surprise	Cordaro2008IPC	2	0.7858293075684379
4529	06	surprise	Cordaro2008IPC	3	0.7982456140350876
6689	06	surprise	Cordaro2008IPC	4	0.8072988111568358
8849	06	surprise	Cordaro2008IPC	5	0.7766863395046756
240	07	anger	Cordaro2008IPC	1	0.470873786407767
2400	07	anger	Cordaro2008IPC	2	0.5447845804988661
4560	07	anger	Cordaro2008IPC	3	0.5872641509433962
6720	07	anger	Cordaro2008IPC	4	0.6818224740321057
8880	07	anger	Cordaro2008IPC	5	0.6574377457404981
241	07	disgust	Cordaro2008IPC	1	0.6009728773584906
2401	07	disgust	Cordaro2008IPC	2	0.6476601544752385
4561	07	disgust	Cordaro2008IPC	3	0.6692084794875707
6721	07	disgust	Cordaro2008IPC	4	0.6972420506164828
8881	07	disgust	Cordaro2008IPC	5	0.7398895658796648
242	07	fear	Cordaro2008IPC	1	0.6853448275862069
2402	07	fear	Cordaro2008IPC	2	0.9312977099236641
4562	07	fear	Cordaro2008IPC	3	0.7016460905349794
6722	07	fear	Cordaro2008IPC	4	0.4614116094986807
8882	07	fear	Cordaro2008IPC	5	0.7163825757575757
243	07	happy	Cordaro2008IPC	1	0.5362460815047023
2403	07	happy	Cordaro2008IPC	2	0.7151918316831682
4563	07	happy	Cordaro2008IPC	3	0.6859152752009894
6723	07	happy	Cordaro2008IPC	4	0.8094968908988127
