mapping	emotion	cosine	euclidean	l1	l2	linear	sigmoid
Cordaro2018IPC	anger	0.5149848633221084	0.518275328416235	0.5259886542440156	0.518275328416235	0.5149027629647047	0.5107445237596194
Cordaro2018IPC	disgust	0.6740205235772898	0.6359958812011033	0.5975125737901772	0.6359958812011033	0.6779597508883322	0.6512159246474207
Cordaro2018IPC	fear	0.5580516763471192	0.5646055454876099	0.5623663607214159	0.5646055454876099	0.560358712765813	0.5583789184367305
Cordaro2018IPC	happy	0.7551871649852973	0.733455467790941	0.7263099649769502	0.733455467790941	0.75315347681591	0.7465101813229764
Cordaro2018IPC	sadness	0.7217657133644118	0.7079278699890218	0.7017143739878212	0.7079278699890218	0.7148279283629071	0.7167872864820686
Cordaro2018IPC	surprise	0.7494098572107855	0.7385069915918996	0.7287424037092127	0.7385069915918996	0.7308527023021454	0.7414078075603767
Cordaro2018ref	anger	0.5758088029809578	0.5700419990526189	0.5644792670320067	0.5700419990526189	0.5882998935761752	0.5723967532709504
Cordaro2018ref	disgust	0.6388962456037945	0.6156642395677608	0.6114701841038138	0.6156642395677608	0.6169431978532588	0.6247234647026125
Cordaro2018ref	fear	0.6289753374339097	0.6071585783628214	0.5884179779008583	0.6071585783628214	0.6391781700756672	0.6385092836890998
Cordaro2018ref	happy	0.76723478278905	0.7671649388216262	0.7672886853980987	0.7671649388216262	0.7566326827745671	0.7613450823729189
Cordaro2018ref	sadness	0.6061106479259157	0.6299137930197997	0.6362218530671485	0.6299137930197997	0.6223093666931148	0.6205944932124349
Cordaro2018ref	surprise	0.7480359789632887	0.7418684039042373	0.7387861609888391	0.7418684039042373	0.7352060788017142	0.7423237265285321
Darwin	anger	0.567139600739581	0.570254060521596	0.5709386876683759	0.570254060521596	0.5630276613706817	0.5580720681807929
Darwin	disgust	0.6279644032265959	0.629537235610125	0.6283207634969286	0.629537235610125	0.6196825513563956	0.6191088302319849
Darwin	fear	0.6113111530682009	0.6136729944943704	0.6158804083926066	0.6136729944943704	0.6089961189715642	0.6064865626594759
Darwin	happy	0.7707266645726557	0.7687269712599389	0.7690951200758922	0.7687269712599389	0.7673341671040854	0.7682352477944597
Darwin	sadness	0.6198003062317563	0.6317162298318755	0.6357020249396996	0.6317162298318755	0.6442897406364072	0.6410429482612587
Darwin	surprise	0.7544253921370339	0.7365738658997175	0.7262755638532551	0.7365738658997175	0.7505931013506653	0.7479873229152472
Ekman	anger	0.5989010781240367	0.5294108716143732	0.5224974270977493	0.5294108716143732	0.6334712840621779	0.6300413314934483
Ekman	disgust	0.6550269424451616	0.649584953989583	0.6451710639172712	0.649584953989583	0.6305035185562874	0.637396210047475
Ekman	fear	0.6652324234294318	0.6142963503687442	0.6130940681173935	0.6142963503687442	0.6509604133373423	0.6590412717337948
Ekman	happy	0.8118379602392205	0.8155285741576691	0.815963635832189	0.8155285741576691	0.7904299546195406	0.7907657676749433
Ekman	sadness	0.6420507043622831	0.6127016542690973	0.6215557920094886	0.6127016542690973	0.6641502634467458	0.6508758958630365
Ekman	surprise	0.782892691636011	0.7303474336559789	0.7296024698820083	0.7303474336559789	0.7599370378055261	0.764330787896594
JackSchyns_ethn-all_CV	anger	0.6964312141699595	0.679744772971545	0.6809498174906381	0.679744772971545	0.68402455724397	0.6899376817397119
JackSchyns_ethn-all_CV	disgust	0.7165500788146117	0.7097944309811495	0.699945039062027	0.7097944309811495	0.7015729812323549	0.7072843383375738
JackSchyns_ethn-all_CV	fear	0.7037687659627245	0.6793767892388926	0.6821522164384495	0.6793767892388926	0.6707687114678621	0.6838882418390131
JackSchyns_ethn-all_CV	happy	0.8434181595031178	0.8259039313435478	0.8257054731342437	0.8259039313435478	0.8268627351068499	0.8291654317448112
JackSchyns_ethn-all_CV	sadness	0.7525930845595392	0.7472776570854668	0.7450611958501284	0.7472776570854668	0.7498836904474502	0.7545542800943543
JackSchyns_ethn-all_CV	surprise	0.8072763337046525	0.7880551865736356	0.780303881602279	0.7880551865736356	0.7982566187786287	0.8011995879994233
Keltner2019	anger	0.5596674559989825	0.5543447124106778	0.5525410843916881	0.5543447124106778	0.5748774609467064	0.5629075745562858
Keltner2019	disgust	0.5859691292321616	0.5727005613147189	0.5710477444901078	0.5727005613147189	0.5922331691996392	0.5818127836266347
Keltner2019	fear	0.6255337075074165	0.6138179264841838	0.6003346005034946	0.6138179264841838	0.6287994876479204	0.6293320782467976
Keltner2019	happy	0.764170190513781	0.7569195184708262	0.7598909033662478	0.7569195184708262	0.7568466567049885	0.7534060709200101
Keltner2019	sadness	0.6310308871087461	0.6315636579402466	0.6338649084485788	0.6315636579402466	0.6412819937014045	0.6278754702282907
Keltner2019	surprise	0.7390736181435102	0.7342036331926229	0.7348079772379911	0.7342036331926229	0.7294590865442536	0.7355164573777943
Matsumoto2008	anger	0.5374793843199044	0.5248712581490371	0.5079471073600014	0.5248712581490371	0.567771669742154	0.5578339465187963
Matsumoto2008	disgust	0.6655005939324721	0.620681092048758	0.6086102949082406	0.620681092048758	0.6515257416413285	0.6569357166172184
Matsumoto2008	fear	0.6624777621808123	0.6500733305285926	0.6299748039342145	0.6500733305285926	0.6561059152779172	0.6585421841015511
Matsumoto2008	happy	0.7821423170511403	0.7779576172131043	0.7768471190951888	0.7779576172131043	0.7709431339637158	0.7728746110525335
Matsumoto2008	sadness	0.7088965487364772	0.6772654671742109	0.6824091603477307	0.6772654671742109	0.6980679932785973	0.7053782242310793
Matsumoto2008	surprise	0.7646360467142962	0.7363838075121104	0.7103803534128768	0.7363838075121104	0.7546081975161257	0.7537285232926404
